City_ID,City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Hotel Name
367,367,Cayenne,4.9333,-52.3333,75.09,92,75,4.0,GF,2022-03-08 05:51:55,Hôtel Le Dronmi
368,368,Paranagua,-25.52,-48.5092,78.49,98,92,3.71,BR,2022-03-08 05:51:55,Hotel Camboa Paranaguá
369,369,Cidreira,-30.1811,-50.2056,71.87,93,95,6.8,BR,2022-03-08 05:51:56,Hotel Castelo
370,370,Sibu,2.3,111.8167,89.91,62,40,2.3,MY,2022-03-08 05:51:56,RH HOTEL (4 Star)
377,377,Naifaru,5.4444,73.3657,81.93,71,94,8.95,MV,2022-03-08 05:52:00,Naifaru Residence Guest House
378,378,Sassandra,4.95,-6.0833,77.34,94,28,2.66,CI,2022-03-08 05:52:00,la terrasse
379,379,Sayaxche,16.5167,-90.1667,69.55,96,1,4.07,GT,2022-03-08 05:52:01,Hotel y Auto Hotel Arizona
380,380,Yulara,-25.2406,130.9889,87.64,20,0,4.61,AU,2022-03-08 05:52:01,Desert Gardens Hotel - Ayers Rock Resort
384,384,Jiangyou,31.7667,104.7167,71.26,46,16,4.63,CN,2022-03-08 05:52:04,Shangping Shuyuan Inn
386,386,Christchurch,-43.5333,172.6333,66.94,77,75,18.41,NZ,2022-03-08 05:48:42,The George
389,389,Ariyalur,11.1333,79.0833,86.16,46,84,8.19,IN,2022-03-08 05:52:11,BERGAMONT HOTEL
390,390,Oudtshoorn,-33.5907,22.2014,64.76,81,96,3.0,ZA,2022-03-08 05:52:11,Earthbound Guest House
392,392,Ambon,-3.6954,128.1814,89.74,62,40,17.27,ID,2022-03-08 05:52:12,Swiss-Belhotel Ambon
395,395,Jutai,-5.1833,-68.9,72.23,96,100,0.81,BR,2022-03-08 05:52:14,
396,396,Nawa,27.0167,75.0,84.88,19,85,12.71,IN,2022-03-08 05:52:14,"Sambharia Bhawan,Kuchaman Road,Nawa City"
397,397,Pisco,-13.7,-76.2167,73.45,83,75,3.44,PE,2022-03-08 05:52:15,Hotel San Isidro Oficial
399,399,Barmer,25.75,71.3833,87.93,15,1,11.83,IN,2022-03-08 05:52:16,OYO 71911 Hotel Amber Palace
404,404,Faya,18.3851,42.4509,64.51,41,5,2.53,SA,2022-03-08 05:52:18,املاك خالد الشعشوع
407,407,Cockburn Town,21.4612,-71.1419,77.09,75,0,21.63,TC,2022-03-08 05:52:20,Osprey Beach Hotel
409,409,San Andres,12.5847,-81.7006,80.62,78,20,11.5,CO,2022-03-08 05:53:21,Hotel Arena Blanca
410,410,Katete,-0.7818,29.7544,67.32,82,22,2.01,UG,2022-03-08 05:53:22,
411,411,Xapuri,-10.6517,-68.5044,71.73,99,100,1.86,BR,2022-03-08 05:53:22,Pousada dos Chapurys
412,412,Basco,20.4487,121.9702,69.94,66,41,29.64,PH,2022-03-08 05:53:22,Nathaniel's Lodge
415,415,Bajil,15.0584,43.2851,78.75,57,73,3.76,YE,2022-03-08 05:53:24,فندق حضرموت
416,416,Kahului,20.8947,-156.47,75.22,71,20,9.22,US,2022-03-08 05:50:59,Maui Seaside Hotel
417,417,Japura,-0.3167,102.35,84.97,76,98,2.71,ID,2022-03-08 05:53:25,Rumah mbah Jamah
418,418,Kota Belud,6.351,116.4305,87.66,73,100,4.05,MY,2022-03-08 05:53:25,Tang Dynasty Lodge Kota Belud
420,420,Alyangula,-13.8483,136.4192,94.87,52,86,8.05,AU,2022-03-08 05:53:26,Groote Eylandt Lodge
423,423,Kikwit,-5.041,18.8162,72.88,91,81,2.44,CD,2022-03-08 05:53:27,HOTEL PLACE YALABA
426,426,Codrington,-38.2667,141.9667,62.64,55,32,21.52,AU,2022-03-08 05:53:28,Codrington Gardens Bed And Breakfast
